COUNTRY,LOWER_OR_SINGLE_HOUSE_ELECTIONS,LOWER_OR_SINGLE_HOUSE_SEATS,LOWER_OR_SINGLE_HOUSE_WOMEN,LOWER_OR_SINGLE_HOUSE_PERCENT_W,UPPER_HOUSE_OR_SENATE_ELECTIONS,UPPER_HOUSE_OR_SENATE_SEATS,UPPER_HOUSE_OR_SENATE_WOMEN,UPPER_HOUSE_OR_SENATE_PERCENT_W
Cameroon,2007-07-01,180.0,25.0,1390.0,1970-01-01,0.0,0.0,0.0
Djibouti,2008-02-01,65.0,9.0,1380.0,1970-01-01,0.0,0.0,0.0
Republic of Korea,2008-04-01,299.0,41.0,1370.0,1970-01-01,0.0,0.0,0.0
Grenada,2008-07-01,15.0,2.0,1330.0,2008-08-01,13.0,4.0,3080.0
Ireland,2007-05-01,166.0,22.0,1330.0,2007-07-01,60.0,13.0,2170.0
Jamaica,2007-09-01,60.0,8.0,1330.0,2007-09-01,21.0,3.0,1430.0
Slovenia,2008-09-01,90.0,12.0,1330.0,2007-11-01,40.0,1.0,250.0
Sierra Leone,2007-08-01,121.0,16.0,1320.0,1970-01-01,0.0,0.0,0.0
Malawi,2004-05-01,193.0,25.0,1300.0,1970-01-01,0.0,0.0,0.0
Liberia,2005-10-01,64.0,8.0,1250.0,2005-10-01,30.0,5.0,1670.0
Paraguay,2008-04-01,80.0,10.0,1250.0,2008-04-01,45.0,7.0,1560.0
Niger,2004-12-01,113.0,14.0,1240.0,1970-01-01,0.0,0.0,0.0
Syrian Arab Republic,2007-04-01,250.0,31.0,1240.0,1970-01-01,0.0,0.0,0.0
Swaziland,2008-09-01,65.0,8.0,1230.0,2008-10-01,30.0,0.0,0.0
Bahamas,2007-05-01,41.0,5.0,1220.0,2007-05-01,15.0,9.0,6000.0
Uruguay,2004-10-01,99.0,12.0,1210.0,2004-10-01,31.0,4.0,1290.0
Guatemala,2007-09-01,158.0,19.0,1200.0,1970-01-01,0.0,0.0,0.0
Maldives,2005-01-01,50.0,6.0,1200.0,1970-01-01,0.0,0.0,0.0
Bosnia and Herzegovina,2006-10-01,42.0,5.0,1190.0,2007-03-01,15.0,2.0,1330.0
San Marino,2006-06-01,60.0,7.0,1170.0,1970-01-01,0.0,0.0,0.0
Thailand,2007-12-01,480.0,56.0,1170.0,2008-03-01,150.0,24.0,1600.0
Indonesia,2004-04-01,550.0,64.0,1160.0,1970-01-01,0.0,0.0,0.0
Azerbaijan,2005-11-01,123.0,14.0,1140.0,1970-01-01,0.0,0.0,0.0
Botswana,2004-10-01,63.0,7.0,1110.0,1970-01-01,0.0,0.0,0.0
Hungary,2006-04-01,386.0,43.0,1110.0,1970-01-01,0.0,0.0,0.0
Montenegro,2006-09-01,81.0,9.0,1110.0,1970-01-01,0.0,0.0,0.0
Saint Lucia,2006-12-01,18.0,2.0,1110.0,2007-01-01,11.0,3.0,2730.0
Togo,2007-10-01,81.0,9.0,1110.0,1970-01-01,0.0,0.0,0.0
Ghana,2004-12-01,230.0,25.0,1090.0,1970-01-01,0.0,0.0,0.0
Benin,2003-03-01,83.0,9.0,1080.0,1970-01-01,0.0,0.0,0.0
Malaysia,2008-03-01,222.0,24.0,1080.0,1970-01-01,59.0,17.0,2880.0
Antigua and Barbuda,2004-03-01,19.0,2.0,1050.0,2004-03-01,17.0,4.0,2350.0
Central African Republic,2005-03-01,105.0,11.0,1050.0,1970-01-01,0.0,0.0,0.0
Morocco,2007-09-01,325.0,34.0,1050.0,2006-09-01,270.0,3.0,110.0
Mali,2007-07-01,147.0,15.0,1020.0,1970-01-01,0.0,0.0,0.0
Barbados,2008-01-01,30.0,3.0,1000.0,2008-02-01,21.0,4.0,1900.0
Kenya,2007-12-01,224.0,22.0,980.0,1970-01-01,0.0,0.0,0.0
Gambia,2002-01-01,53.0,5.0,940.0,1970-01-01,0.0,0.0,0.0
Japan,2005-09-01,480.0,45.0,940.0,2007-07-01,242.0,44.0,1820.0
Romania,2004-11-01,330.0,31.0,940.0,2004-11-01,137.0,14.0,1020.0
India,2004-04-01,541.0,49.0,910.0,2008-06-01,243.0,23.0,950.0
Turkey,2007-07-01,549.0,50.0,910.0,1970-01-01,0.0,0.0,0.0
Brazil,2006-10-01,513.0,46.0,900.0,2006-10-01,81.0,10.0,1230.0
Cote d'Ivoire,2000-12-01,203.0,18.0,890.0,1970-01-01,0.0,0.0,0.0
Malta,2008-03-01,69.0,6.0,870.0,1970-01-01,0.0,0.0,0.0
Bhutan,2008-03-01,47.0,4.0,850.0,2007-12-01,25.0,6.0,2400.0
Armenia,2007-05-01,131.0,11.0,840.0,1970-01-01,0.0,0.0,0.0
Colombia,2006-03-01,166.0,14.0,840.0,2006-03-01,102.0,12.0,1180.0
Democratic Republic of the Congo,2006-07-01,500.0,42.0,840.0,2007-01-01,108.0,5.0,460.0
Samoa,2006-03-01,49.0,4.0,820.0,1970-01-01,0.0,0.0,0.0
Somalia,2004-08-01,256.0,21.0,820.0,1970-01-01,0.0,0.0,0.0
Ukraine,2007-09-01,450.0,37.0,820.0,1970-01-01,0.0,0.0,0.0
Madagascar,2007-09-01,127.0,10.0,790.0,2008-04-01,33.0,5.0,1520.0
Algeria,2007-05-01,389.0,30.0,770.0,2006-12-01,136.0,4.0,290.0
Libyan Arab Jamahiriya,2006-03-01,468.0,36.0,770.0,1970-01-01,0.0,0.0,0.0
Congo,2007-06-01,137.0,10.0,730.0,2008-08-01,70.0,9.0,1290.0
Albania,2005-07-01,140.0,10.0,710.0,1970-01-01,0.0,0.0,0.0
Nigeria,2007-04-01,358.0,25.0,700.0,2007-04-01,109.0,9.0,830.0
Saint Kitts and Nevis,2004-10-01,15.0,1.0,670.0,1970-01-01,0.0,0.0,0.0
Jordan,2007-11-01,110.0,7.0,640.0,2007-11-01,55.0,7.0,1270.0
Equatorial Guinea,2008-05-01,100.0,6.0,600.0,1970-01-01,0.0,0.0,0.0
Georgia,2008-05-01,150.0,9.0,600.0,1970-01-01,0.0,0.0,0.0
Sri Lanka,2004-04-01,225.0,13.0,580.0,1970-01-01,0.0,0.0,0.0
Chad,2002-04-01,155.0,8.0,520.0,1970-01-01,0.0,0.0,0.0
Lebanon,2005-05-01,128.0,6.0,470.0,1970-01-01,0.0,0.0,0.0
Kiribati,2007-08-01,46.0,2.0,430.0,1970-01-01,0.0,0.0,0.0
Mongolia,2008-06-01,72.0,3.0,420.0,1970-01-01,0.0,0.0,0.0
Haiti,2006-02-01,98.0,4.0,410.0,2006-02-01,18.0,2.0,1110.0
Vanuatu,2008-09-01,52.0,2.0,380.0,1970-01-01,0.0,0.0,0.0
Kuwait ,2008-05-01,65.0,2.0,310.0,1970-01-01,0.0,0.0,0.0
Tonga ,2008-04-01,32.0,1.0,310.0,1970-01-01,0.0,0.0,0.0
Comoros,2004-04-01,33.0,1.0,300.0,1970-01-01,0.0,0.0,0.0
Marshall Islands,2007-11-01,33.0,1.0,300.0,1970-01-01,0.0,0.0,0.0
Iran Islamic Republic of,2008-03-01,286.0,8.0,280.0,1970-01-01,0.0,0.0,0.0
Bahrain,2006-11-01,40.0,1.0,250.0,2006-12-01,40.0,10.0,2500.0
Egypt,2005-11-01,442.0,8.0,180.0,2007-06-01,264.0,18.0,680.0
Sao Tome and Principe,2006-03-01,55.0,1.0,180.0,1970-01-01,0.0,0.0,0.0
Papua New Guinea,2007-06-01,109.0,1.0,90.0,1970-01-01,0.0,0.0,0.0
Yemen,2003-04-01,301.0,1.0,30.0,2001-04-01,111.0,2.0,180.0
Belize,2008-02-01,32.0,0.0,0.0,2008-03-01,13.0,5.0,3850.0
Micronesia Federated States of,2005-03-01,14.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Nauru,2008-04-01,18.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Oman,2007-10-01,84.0,0.0,0.0,2007-11-01,70.0,14.0,2000.0
Qatar,2008-07-01,35.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
0,1970-01-01,0.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Country,,0.0,0.0,0.0,,0.0,0.0,0.0
0,,,,,,,,
Rwanda,,80.0,49.0,613.0,,26.0,10.0,385.0
Cuba,,605.0,322.0,532.0,,,,
Bolivia Plurinational State of,,130.0,69.0,531.0,,36.0,17.0,472.0
Andorra,,28.0,14.0,50.0,,,,
Mexico,,500.0,241.0,482.0,,128.0,63.0,492.0
Spain,,350.0,166.0,474.0,,261.0,103.0,395.0
Sweden,,349.0,165.0,473.0,,,,
Finland,,200.0,94.0,47.0,,,,
Grenada,,15.0,7.0,467.0,,13.0,4.0,308.0
Namibia,,104.0,48.0,462.0,,42.0,10.0,238.0
South Africa,,396.0,181.0,457.0,,53.0,20.0,377.0
Costa Rica,,57.0,26.0,456.0,,,,
Nicaragua,,92.0,41.0,446.0,,,,
Belgium,,150.0,63.0,42.0,,60.0,28.0,467.0
Senegal,,165.0,69.0,418.0,,,,
New Zealand,,120.0,49.0,408.0,,,,
Norway,,169.0,69.0,408.0,,,,
France,,577.0,229.0,397.0,,348.0,112.0,322.0
Mozambique,,250.0,99.0,396.0,,,,
Austria,,183.0,72.0,393.0,,61.0,22.0,361.0
North Macedonia,,120.0,47.0,392.0,,,,
Denmark,,179.0,70.0,391.0,,,,
Argentina,,257.0,100.0,389.0,,72.0,30.0,417.0
Ethiopia,,547.0,212.0,388.0,,153.0,49.0,32.0
Timor-Leste,,65.0,25.0,385.0,,,,
Iceland,,63.0,24.0,381.0,,,,
Ecuador,,137.0,52.0,38.0,,,,
Serbia,,247.0,93.0,377.0,,,,
United Republic of Tanzania,,393.0,145.0,369.0,,,,
Burundi,,121.0,44.0,364.0,,39.0,18.0,462.0
Tunisia,,217.0,78.0,359.0,,,,
Italy,,630.0,225.0,357.0,,320.0,110.0,344.0
Uganda,,459.0,160.0,349.0,,,,
Portugal,,230.0,80.0,348.0,,,,
Belarus,,110.0,38.0,346.0,,56.0,17.0,304.0
Monaco,,24.0,8.0,333.0,,,,
Nepal,,275.0,90.0,327.0,,59.0,22.0,373.0
Switzerland,,200.0,65.0,325.0,,46.0,7.0,152.0
United Kingdom,,650.0,208.0,32.0,,789.0,208.0,264.0
Guyana,,69.0,22.0,319.0,,,,
Zimbabwe,,270.0,86.0,319.0,,80.0,35.0,438.0
Netherlands,,150.0,47.0,313.0,,75.0,29.0,387.0
Cameroon,,180.0,56.0,311.0,,100.0,26.0,26.0
El Salvador,,84.0,26.0,31.0,,,,
Trinidad and Tobago,,42.0,13.0,31.0,,31.0,11.0,355.0
Germany,,709.0,219.0,309.0,,69.0,27.0,391.0
Australia,,151.0,46.0,305.0,,76.0,37.0,487.0
Angola,,220.0,66.0,30.0,,,,
Latvia,,100.0,30.0,30.0,,,,
Peru,,130.0,39.0,30.0,,,,
Estonia,,101.0,30.0,297.0,,,,
Albania,,122.0,36.0,295.0,,,,
Suriname,,51.0,15.0,294.0,,,,
Poland,,460.0,134.0,291.0,,100.0,14.0,14.0
South Sudan,,383.0,109.0,285.0,,50.0,6.0,12.0
Philippines,,304.0,85.0,28.0,,24.0,7.0,292.0
Afghanistan,,244.0,68.0,279.0,,68.0,17.0,25.0
Slovenia,,90.0,25.0,278.0,,40.0,4.0,10.0
Lao People's Democratic Republic,,149.0,41.0,275.0,,,,
Kazakhstan,,107.0,29.0,271.0,,47.0,5.0,106.0
Canada,,334.0,90.0,27.0,,105.0,49.0,467.0
Dominican Republic,,190.0,51.0,268.0,,32.0,3.0,94.0
Viet Nam,,494.0,132.0,267.0,,,,
Djibouti,,65.0,17.0,262.0,,,,
Algeria,,462.0,119.0,258.0,,132.0,9.0,68.0
Bulgaria,,240.0,62.0,258.0,,,,
Republic of Moldova,,101.0,26.0,257.0,,,,
Iraq,,329.0,83.0,252.0,,,,
Dominica,,32.0,8.0,25.0,,,,
Luxembourg,,60.0,15.0,25.0,,,,
San Marino,,60.0,15.0,25.0,,,,
Turkmenistan,,124.0,31.0,25.0,,,,
China,,2975.0,742.0,249.0,,,,
Somalia,,275.0,67.0,244.0,,54.0,13.0,241.0
Armenia,,132.0,32.0,242.0,,,,
Cabo Verde,,72.0,17.0,236.0,,,,
Montenegro,,81.0,19.0,235.0,,,,
United States of America,,434.0,102.0,235.0,,100.0,25.0,25.0
Israel,,120.0,28.0,233.0,,,,
Lesotho,,120.0,28.0,233.0,,32.0,7.0,219.0
Singapore,,100.0,23.0,23.0,,,,
Malawi,,192.0,44.0,229.0,,,,
Guinea,,114.0,26.0,228.0,,,,
Chile,,155.0,35.0,226.0,,43.0,10.0,233.0
Czech Republic,,200.0,45.0,225.0,,81.0,13.0,161.0
United Arab Emirates,,40.0,9.0,225.0,,,,
Ireland,,158.0,35.0,222.0,,60.0,18.0,30.0
Uruguay,,99.0,22.0,222.0,,31.0,8.0,258.0
Venezuela Bolivarian Republic of,,167.0,37.0,222.0,,,,
Eritrea,,150.0,33.0,22.0,,,,
Kenya,,349.0,76.0,218.0,,68.0,21.0,309.0
Bosnia and Herzegovina,,42.0,9.0,214.0,,15.0,3.0,20.0
Lithuania,,141.0,30.0,213.0,,,,
Seychelles,,33.0,7.0,212.0,,,,
Honduras,,128.0,27.0,211.0,,,,
Panama,,71.0,15.0,211.0,,,,
Equatorial Guinea,,100.0,21.0,21.0,,72.0,12.0,167.0
Greece,,300.0,62.0,207.0,,,,
Romania,,329.0,68.0,207.0,,136.0,19.0,14.0
Bangladesh,,349.0,72.0,206.0,,,,
Croatia,,151.0,31.0,205.0,,,,
Morocco,,395.0,81.0,205.0,,120.0,14.0,117.0
Ukraine,,424.0,87.0,205.0,,,,
Mauritania,,153.0,31.0,203.0,,,,
Pakistan,,341.0,69.0,202.0,,104.0,20.0,192.0
Barbados,,30.0,6.0,20.0,,21.0,9.0,429.0
Cambodia,,125.0,25.0,20.0,,62.0,11.0,177.0
Slovakia,,150.0,30.0,20.0,,,,
Saudi Arabia,,151.0,30.0,199.0,,,,
Fiji,,51.0,10.0,196.0,,,,
Guatemala,,160.0,31.0,194.0,,,,
Kyrgyzstan,,120.0,23.0,192.0,,,,
Tajikistan,,63.0,12.0,191.0,,32.0,7.0,219.0
Colombia,,171.0,32.0,187.0,,105.0,22.0,21.0
Zambia,,167.0,30.0,18.0,,,,
Cyprus,,56.0,10.0,179.0,,,,
Gabon,,134.0,24.0,179.0,,100.0,18.0,18.0
Democratic People's Republic of Korea,,687.0,121.0,176.0,,,,
Jamaica,,63.0,11.0,175.0,,21.0,5.0,238.0
Türkiye,,596.0,104.0,175.0,,,,
Indonesia,,575.0,100.0,174.0,,,,
Mongolia,,76.0,13.0,171.0,,,,
Niger,,171.0,29.0,17.0,,,,
Azerbaijan,,119.0,20.0,168.0,,,,
Republic of Korea,,300.0,50.0,167.0,,,,
Saint Lucia,,18.0,3.0,167.0,,11.0,3.0,273.0
Togo,,91.0,15.0,165.0,,,,
Thailand,,500.0,81.0,162.0,,250.0,25.0,10.0
Libya,,188.0,30.0,16.0,,,,
Uzbekistan,,150.0,24.0,16.0,,100.0,17.0,17.0
Madagascar,,151.0,24.0,159.0,,62.0,12.0,194.0
Russian Federation,,450.0,71.0,158.0,,170.0,31.0,182.0
Jordan,,130.0,20.0,154.0,,65.0,10.0,154.0
Bahrain,,40.0,6.0,15.0,,40.0,9.0,225.0
Brazil,,513.0,77.0,15.0,,81.0,12.0,148.0
Paraguay,,80.0,12.0,15.0,,45.0,9.0,20.0
Bhutan,,47.0,7.0,149.0,,25.0,4.0,16.0
Chad,,168.0,25.0,149.0,,,,
Egypt,,596.0,89.0,149.0,,,,
Malta,,67.0,10.0,149.0,,,,
Georgia,,149.0,22.0,148.0,,,,
Sao Tome and Principe,,55.0,8.0,146.0,,,,
India,,542.0,78.0,144.0,,244.0,28.0,115.0
Malaysia,,222.0,32.0,144.0,,68.0,13.0,191.0
Guinea-Bissau,,102.0,14.0,137.0,,,,
Burkina Faso,,127.0,17.0,134.0,,,,
Saint Kitts and Nevis,,15.0,2.0,133.0,,,,
Syrian Arab Republic,,250.0,33.0,132.0,,,,
Ghana,,275.0,36.0,131.0,,,,
Saint Vincent and the Grenadines,,23.0,3.0,13.0,,,,
Bahamas,,39.0,5.0,128.0,,16.0,7.0,438.0
Hungary,,199.0,25.0,126.0,,,,
Palau,,16.0,2.0,125.0,,13.0,2.0,154.0
Liberia,,73.0,9.0,123.0,,30.0,3.0,10.0
Sierra Leone,,146.0,18.0,123.0,,,,
Liechtenstein,,25.0,3.0,12.0,,,,
Mauritius,,69.0,8.0,116.0,,,,
Congo,,151.0,17.0,113.0,,69.0,13.0,188.0
Myanmar,,433.0,49.0,113.0,,224.0,27.0,121.0
Antigua and Barbuda,,18.0,2.0,111.0,,17.0,9.0,529.0
Côte d'Ivoire,,255.0,28.0,11.0,,99.0,19.0,192.0
Nauru,,19.0,2.0,105.0,,,,
Gambia The,,58.0,6.0,103.0,,,,
Japan,,465.0,47.0,101.0,,245.0,56.0,229.0
Democratic Republic of the Congo,,500.0,50.0,10.0,,109.0,23.0,211.0
Samoa,,50.0,5.0,10.0,,,,
Qatar,,41.0,4.0,9800000000000000.0,,,,
Botswana,,63.0,6.0,95.0,,,,
Mali,,147.0,14.0,95.0,,,,
Belize,,32.0,3.0,94.0,,13.0,2.0,154.0
Brunei Darussalam,,33.0,3.0,91.0,,,,
Marshall Islands,,33.0,3.0,91.0,,,,
Central African Republic,,140.0,12.0,86.0,,,,
Tonga,,27.0,2.0,74.0,,,,
Eswatini,,69.0,5.0,73.0,,30.0,7.0,233.0
Benin,,83.0,6.0,72.0,,,,
Kiribati,,46.0,3.0,65.0,,,,
Tuvalu,,16.0,1.0,63.0,,,,
Comoros,,33.0,2.0,61.0,,,,
Iran Islamic Republic of,,289.0,17.0,59.0,,,,
Sri Lanka,,225.0,12.0,53.0,,,,
Lebanon,,128.0,6.0,47.0,,,,
Kuwait,,65.0,3.0,46.0,,,,
Maldives,,87.0,4.0,46.0,,,,
Solomon Islands,,49.0,2.0,41.0,,,,
Nigeria,,355.0,12.0,34.0,,107.0,7.0,65.0
Haiti,,118.0,3.0,25.0,,28.0,1.0,36.0
Oman,,85.0,1.0,12.0,,85.0,14.0,165.0
Yemen,,301.0,1.0,3.0,,111.0,3.0,27.0
Micronesia Federated States of,,14.0,0.0,0.0,,,,
Papua New Guinea,,111.0,0.0,0.0,,,,
Vanuatu,,52.0,0.0,0.0,,,,
Sudan,,,,,,,,
United Arab Emirates,,40.0,20.0,50.0,,,,
Nicaragua,,91.0,43.0,473.0,,,,
Sweden,,349.0,164.0,47.0,,,,
Andorra,,28.0,13.0,464.0,,,,
South Africa,,399.0,185.0,464.0,,53.0,20.0,377.0
Finland,,200.0,92.0,46.0,,,,
Spain,,350.0,154.0,44.0,,264.0,103.0,39.0
Namibia,,104.0,45.0,433.0,,42.0,8.0,191.0
Senegal,,165.0,71.0,43.0,,,,
Mozambique,,250.0,106.0,424.0,,,,
Switzerland,,200.0,83.0,415.0,,46.0,12.0,261.0
Norway,,169.0,70.0,414.0,,,,
Argentina,,257.0,105.0,409.0,,72.0,29.0,403.0
Belgium,,150.0,61.0,407.0,,60.0,27.0,45.0
Belarus,,110.0,44.0,40.0,,60.0,15.0,25.0
Portugal,,230.0,92.0,40.0,,,,
Denmark,,179.0,71.0,397.0,,,,
France,,577.0,228.0,395.0,,348.0,116.0,333.0
Ecuador,,137.0,54.0,394.0,,,,
Serbia,,250.0,97.0,388.0,,,,
North Macedonia,,120.0,46.0,383.0,,,,
Burundi,,123.0,47.0,382.0,,39.0,16.0,41.0
Guyana,,70.0,25.0,357.0,,,,
Dominica,,32.0,11.0,344.0,,,,
Cameroon,,180.0,61.0,339.0,,100.0,26.0,26.0
United Kingdom,,650.0,220.0,339.0,,795.0,213.0,268.0
El Salvador,,84.0,28.0,333.0,,,,
Netherlands,,150.0,50.0,333.0,,75.0,29.0,387.0
San Marino,,60.0,20.0,333.0,,,,
Nepal,,275.0,90.0,327.0,,58.0,22.0,379.0
Uzbekistan,,150.0,48.0,32.0,,97.0,24.0,247.0
Germany,,709.0,221.0,312.0,,69.0,25.0,362.0
Croatia,,151.0,47.0,311.0,,,,
Australia,,150.0,45.0,30.0,,76.0,38.0,50.0
Luxembourg,,60.0,18.0,30.0,,,,
Singapore,,95.0,28.0,295.0,,,,
Canada,,338.0,98.0,29.0,,96.0,48.0,50.0
Estonia,,101.0,29.0,287.0,,,,
Poland,,460.0,132.0,287.0,,100.0,24.0,24.0
Jamaica,,63.0,18.0,286.0,,21.0,8.0,381.0
Dominican Republic,,190.0,53.0,279.0,,32.0,4.0,125.0
Mali,,147.0,41.0,279.0,,,,
Israel,,120.0,33.0,275.0,,,,
Kazakhstan,,107.0,29.0,271.0,,48.0,9.0,188.0
Afghanistan,,248.0,67.0,27.0,,68.0,19.0,279.0
Bulgaria,,240.0,64.0,267.0,,,,
Iraq,,329.0,87.0,264.0,,,,
Peru,,130.0,34.0,262.0,,,,
Trinidad and Tobago,,42.0,11.0,262.0,,32.0,13.0,406.0
Algeria,,462.0,119.0,258.0,,141.0,8.0,57.0
Cabo Verde,,72.0,18.0,25.0,,,,
Saint Kitts and Nevis,,16.0,4.0,25.0,,,,
Tunisia,,217.0,54.0,249.0,,,,
Republic of Moldova,,101.0,25.0,248.0,,,,
Lithuania,,141.0,34.0,241.0,,,,
Tajikistan,,63.0,15.0,238.0,,31.0,7.0,226.0
Sao Tome and Principe,,55.0,13.0,236.0,,,,
Armenia,,132.0,31.0,235.0,,,,
United States of America,,431.0,101.0,234.0,,100.0,25.0,25.0
Slovakia,,150.0,34.0,227.0,,,,
Czech Republic,,200.0,45.0,225.0,,81.0,12.0,148.0
Ireland,,160.0,36.0,225.0,,60.0,24.0,40.0
Panama,,71.0,16.0,225.0,,,,
Montenegro,,81.0,18.0,222.0,,,,
Romania,,329.0,72.0,219.0,,136.0,20.0,147.0
Greece,,300.0,65.0,217.0,,,,
Uruguay,,99.0,21.0,212.0,,31.0,9.0,29.0
Bangladesh,,349.0,73.0,209.0,,,,
Ukraine,,423.0,88.0,208.0,,,,
Indonesia,,575.0,117.0,204.0,,,,
Pakistan,,342.0,69.0,202.0,,104.0,20.0,192.0
Cambodia,,125.0,25.0,20.0,,62.0,10.0,161.0
Mauritius,,70.0,14.0,20.0,,,,
Cyprus,,56.0,11.0,196.0,,,,
Republic of Korea,,300.0,57.0,19.0,,,,
Togo,,91.0,17.0,187.0,,,,
Colombia,,169.0,31.0,183.0,,106.0,23.0,217.0
Madagascar,,151.0,27.0,179.0,,62.0,12.0,194.0
Azerbaijan,,121.0,21.0,174.0,,,,
Mongolia,,75.0,13.0,173.0,,,,
Türkiye,,589.0,102.0,173.0,,,,
Zambia,,167.0,28.0,168.0,,,,
Comoros,,24.0,4.0,167.0,,,,
Guinea,,114.0,19.0,167.0,,,,
Paraguay,,80.0,13.0,163.0,,45.0,9.0,20.0
Russian Federation,,450.0,71.0,158.0,,170.0,29.0,171.0
Thailand,,489.0,77.0,158.0,,250.0,26.0,104.0
Chad,,162.0,25.0,154.0,,,,
Jordan,,130.0,20.0,154.0,,65.0,7.0,108.0
Egypt,,596.0,90.0,151.0,,,,
Malaysia,,222.0,33.0,149.0,,68.0,13.0,191.0
Gabon,,142.0,21.0,148.0,,100.0,18.0,18.0
Brazil,,513.0,75.0,146.0,,81.0,11.0,136.0
India,,543.0,78.0,144.0,,243.0,25.0,103.0
Georgia,,149.0,21.0,141.0,,,,
Malta,,67.0,9.0,134.0,,,,
Democratic Republic of the Congo,,500.0,64.0,128.0,,109.0,23.0,211.0
Liberia,,73.0,9.0,123.0,,30.0,1.0,33.0
Hungary,,199.0,24.0,121.0,,,,
Côte d'Ivoire,,255.0,29.0,114.0,,99.0,19.0,192.0
Syrian Arab Republic,,250.0,28.0,112.0,,,,
Myanmar,,432.0,48.0,111.0,,223.0,27.0,121.0
Botswana,,65.0,7.0,108.0,,,,
Japan,,465.0,46.0,99.0,,245.0,56.0,229.0
Eswatini,,73.0,7.0,96.0,,30.0,12.0,40.0
Belize,,32.0,3.0,94.0,,14.0,3.0,214.0
Kiribati,,45.0,4.0,89.0,,,,
Gambia The,,58.0,5.0,86.0,,,,
Kuwait,,63.0,4.0,64.0,,,,
Solomon Islands,,47.0,3.0,64.0,,,,
Marshall Islands,,33.0,2.0,61.0,,,,
Iran Islamic Republic of,,286.0,16.0,56.0,,,,
Sri Lanka,,223.0,12.0,54.0,,,,
Nigeria,,358.0,13.0,36.0,,109.0,8.0,73.0
Oman,,86.0,2.0,23.0,,86.0,15.0,174.0
Eritrea,,,,,,,,
Haiti,,,,,,10.0,0.0,0.0
Cuba,,586.0,313.0,534.0,,,,
Nicaragua,,91.0,46.0,506.0,,,,
Mexico,,500.0,250.0,50.0,,128.0,63.0,492.0
New Zealand,,120.0,59.0,492.0,,,,
Iceland,,63.0,30.0,476.0,,,,
Grenada,,15.0,7.0,467.0,,13.0,2.0,154.0
South Africa,,397.0,184.0,464.0,,53.0,22.0,415.0
Bolivia Plurinational State of,,130.0,60.0,462.0,,36.0,20.0,556.0
Norway,,169.0,76.0,45.0,,,,
Namibia,,104.0,46.0,442.0,,42.0,6.0,143.0
Spain,,350.0,152.0,434.0,,265.0,108.0,408.0
Ethiopia,,425.0,181.0,426.0,,153.0,49.0,32.0
Argentina,,257.0,109.0,424.0,,72.0,29.0,403.0
Belgium,,150.0,63.0,42.0,,60.0,27.0,45.0
Switzerland,,200.0,84.0,42.0,,46.0,12.0,261.0
Austria,,183.0,74.0,404.0,,61.0,22.0,361.0
North Macedonia,,120.0,48.0,40.0,,,,
Peru,,130.0,52.0,40.0,,,,
Republic of Moldova,,101.0,40.0,396.0,,,,
France,,577.0,228.0,395.0,,348.0,122.0,351.0
Netherlands,,150.0,59.0,393.0,,75.0,29.0,387.0
Serbia,,250.0,98.0,392.0,,,,
Cabo Verde,,72.0,28.0,389.0,,,,
United Republic of Tanzania,,388.0,143.0,369.0,,,,
Guyana,,65.0,23.0,354.0,,,,
Luxembourg,,60.0,21.0,35.0,,,,
Germany,,736.0,257.0,349.0,,69.0,23.0,333.0
United Kingdom,,650.0,222.0,342.0,,790.0,223.0,282.0
Uganda,,556.0,188.0,338.0,,,,
South Sudan,,504.0,170.0,337.0,,84.0,27.0,321.0
Albania,,140.0,47.0,336.0,,,,
Armenia,,107.0,36.0,336.0,,,,
Uzbekistan,,147.0,48.0,327.0,,100.0,23.0,23.0
Chad,,93.0,30.0,323.0,,,,
Suriname,,51.0,16.0,314.0,,,,
Australia,,151.0,47.0,311.0,,76.0,39.0,513.0
Canada,,338.0,103.0,305.0,,94.0,46.0,489.0
Viet Nam,,499.0,151.0,303.0,,,,
Singapore,,104.0,31.0,298.0,,,,
Angola,,220.0,65.0,296.0,,,,
Latvia,,100.0,29.0,29.0,,,,
Israel,,120.0,34.0,283.0,,,,
Poland,,459.0,130.0,283.0,,100.0,24.0,24.0
Liechtenstein,,25.0,7.0,28.0,,,,
Egypt,,592.0,164.0,277.0,,300.0,40.0,133.0
Lithuania,,141.0,39.0,277.0,,,,
United States of America,,432.0,119.0,276.0,,100.0,24.0,24.0
El Salvador,,84.0,23.0,274.0,,,,
Mali,,121.0,33.0,273.0,,,,
Slovenia,,90.0,24.0,267.0,,40.0,4.0,10.0
Tunisia,,217.0,57.0,263.0,,,,
Bosnia and Herzegovina,,42.0,11.0,262.0,,15.0,3.0,20.0
Niger,,166.0,43.0,259.0,,,,
Estonia,,101.0,26.0,257.0,,,,
Turkmenistan,,124.0,31.0,25.0,,56.0,14.0,25.0
Montenegro,,81.0,20.0,247.0,,,,
Bulgaria,,240.0,59.0,246.0,,,,
Somalia,,275.0,67.0,244.0,,48.0,12.0,25.0
Uruguay,,99.0,24.0,242.0,,31.0,10.0,323.0
